Quarter,Windows Mobile,RIM,Symbian,iOS,Android,Bada,Windows Phone,Other,Total Smartphones,Total Phones
2007 Q1,2931.00,2080.00,15844.00,-,-,-,-,4087.00,24943.00,259039.00
2007 Q2,3212.00,2471.00,18273.00,270.00,-,-,-,3628.00,27855.00,272604.00
2007 Q3,4180.00,3192.00,20664.00,1104.00,-,-,-,3612.00,32752.00,291142.00
2007 Q4,4374.00,4025.00,22903.00,1928.00,-,-,-,3536.00,36766.00,330055.00
2008 Q1,3858.00,4312.00,18400.00,1726.00,-,-,-,4113.00,32408.00,294283.00
2008 Q2,3874.00,5594.00,18405.00,893.00,-,-,-,3456.00,32221.00,304722.00
2008 Q3,4053.00,5800.00,18179.00,4720.00,0.00,-,-,3763.00,36515.00,308532.00
2008 Q4,4714.00,7443.00,17949.00,4079.00,639.00,-,-,3319.00,38143.00,314708.00
2009 Q1,3739.00,7534.00,17825.00,3848.00,575.00,-,-,2986.00,36507.00,269120.00
2009 Q2,3830.00,7782.00,20881.00,5325.00,756.00,-,-,2398.00,40972.00,286122.00
2009 Q3,3260.00,8523.00,18315.00,7040.00,1425.00,-,-,2531.00,41093.00,308895.00
2009 Q4,4203.00,10508.00,23857.00,8676.00,4043.00,-,-,2517.00,53804.00,347103.00
2010 Q1,3696.00,10753.00,24068.00,8360.00,5227.00,-,-,2403.00,54506.00,359605.00
2010 Q2,3059.00,11629.00,25387.00,8743.00,10653.00,577.00,-,2011.00,62058.00,367987.00
2010 Q3,2204.00,12508.00,29480.00,13484.00,20544.00,921.00,-,1991.00,81133.00,417086.00
2010 Q4,3419.00,14762.00,32642.00,16011.00,30801.00,2027.00,0.00,1488.00,101150.00,452037.00
2011 Q1,982.00,13004.00,27599.00,16883.00,36350.00,1862.00,1600.00,1495.00,99775.00,427846.00
2011 Q2,-,12652.00,23853.00,19629.00,46776.00,2056.00,1724.00,1051.00,107740.00,428661.00
2011 Q3,-,12701.00,19500.00,17295.00,60490.00,2479.00,1702.00,1018.00,115185.00,440502.00
2011 Q4,-,13185.00,17458.00,35456.00,75906.00,3111.00,2759.00,1167.00,149042.00,476555.00
2012 Q1,-,9939.00,12467.00,33121.00,81067.00,3842.00,2713.00,1243.00,144392.00,419108.00
2012 Q2,-,7991.00,9072.00,28935.00,98529.00,4209.00,4087.00,863.00,153686.00,419008.00
2012 Q3,-,8947.00,4405.00,23550.00,122480.00,5055.00,4058.00,684.00,169179.00,427730.00
2012 Q4,-,7333.00,2569.00,43457.00,144720.00,2684.00,6186.00,713.00,207662.00,472076.00
2013 Q1,-,6219.00,1349.00,38332.00,156186.00,1371.00,5989.00,600.00,210046.00,425822.00
2013 Q2,-,6180.00,631.00,31900.00,177898.00,838.00,7408.00,472.00,225326.00,435158.00
2013 Q3,-,4401.00,458.00,30330.00,205023.00,633.00,8912.00,475.00,250232.00,455642.00
2013 Q4,-,1807.00,-,50224.00,219613.00,-,8534.00,1994.00,282171.00,490342.00
2014 Q1,-,1714.00,-,43062.00,227549.00,-,7580.00,1371.00,281637.00,448966.00
2014 Q2,-,2044.00,-,35345.00,243484.00,-,8095.00,2044.00,290384.40,444190.40
2014 Q3,-,2420.00,-,38187.00,254354.00,-,9033.00,1310.20,305384.00,461064.00
2014 Q4,-,1734.00,-,74832.00,279058.00,-,10425.00,1286.90,367334.40,-
2015 Q1,-,1325.00,-,60177.00,265012.00,-,8271.00,1268.00,336054.00,460261.00
2015 Q2,-,1153.00,-,48086.00,271010.00,-,8198.00,1229.00,329676.40,445758.80
2015 Q3,-,977.00,-,46062.00,298797.00,-,5874.00,1133.60,352844.00,477898.80
2015 Q4,-,906.90,-,71526.00,325394.00,-,4395.00,887.30,403109.40,-